S, N, A, Cl, Cd, AOA
4, 3, 1, 0.500187, 0.011749, -0.251613
4, 3, 2, 0.500187, 0.011498, -0.256340
4, 3, 3, 0.500189, 0.011225, -0.259382
4, 3, 4, 0.500197, 0.011098, -0.258821

--------------------------------------
--------------------------------------
con target CL = 0.784 Re=25.4E6
S, N, A, Cl, Cd, AOA
--------------------------------------
4, 3, 4, 0.784207, 0.009663, 0.72748
-------------------------------------
-------------------------------------


-------------------------------------
-------------------------------------
con target CL = 0.784 Re=3.19E6
wall spacing incorrecto
(no tenia la densidad corregida)
S, N, A, Cl, Cd, AOA
-------------------------------------
4, 3, 4, 0.784206, 0.012390, 1.21475
-------------------------------------
-------------------------------------

siguiente paso: hacer la simulación con 
el wall-spacing correcto (con la densidad
corregida)

